frame,active_tracks
797,18
798,18
799,17
800,18
801,18
802,18
803,16
804,17
805,17
806,16
807,17
808,17
809,17
810,18
811,18
812,17
813,18
814,17
815,16
816,16
817,16
818,16
819,16
820,16
821,16
822,16
823,16
824,16
825,16
826,15
827,16
828,16
829,16
830,16
831,16
832,17
833,16
834,15
835,15
836,15
837,15
838,14
839,13
840,14
841,13
842,11
843,12
844,13
845,13
846,12
847,12
848,13
849,13
850,12
851,12
852,11
853,13
854,13
855,14
856,14
857,13
858,14
859,13
860,13
861,14
862,13
863,13
864,11
865,13
866,12
867,12
868,13
869,12
870,13
871,13
872,12
873,12
874,12
875,11
876,12
877,12
878,12
879,12
880,10
881,11
882,12
883,11
884,11
885,11
886,9
887,8
888,9
889,10
890,9
891,10
892,10
893,10
894,9
895,10
896,9
897,8
898,9
899,9
900,9
901,9
902,9
903,9
904,9
905,11
906,11
907,10
908,10
909,11
910,10
911,13
912,11
913,12
914,1
915,13
916,13
917,14
918,15
919,15
920,15
921,16
922,15
923,16
924,16
925,15
926,16
927,16
928,17
929,16
930,17
931,17
932,16
933,17
934,17
935,16
936,15
937,16
938,16
939,16
940,15
941,14
942,15
943,15
944,15
945,16
946,15
947,15
948,15
949,15
950,14
951,16
952,17
953,17
954,16
955,17
956,16
957,16
958,17
959,18
960,18
961,17
962,17
963,18
964,18
965,18
966,17
967,14
968,16
969,16
970,15
971,17
972,17
973,16
974,17
975,16
976,17
977,16
978,17
979,17
980,17
981,17
982,0
983,6
984,6
985,7
986,7
987,7
988,7
989,6
990,7
991,7
992,7
993,7
994,9
995,9
996,9
997,7
998,10
999,8
1000,10
1001,9
1002,9
1003,9
1004,9
1005,8
1006,8
1007,9
1008,11
1009,13
1010,13
1011,12
1012,11
1013,12
1014,12
1015,11
1016,10
1017,11
1018,10
1019,10
1020,12
1021,10
1022,11
1023,13
1024,11
1025,10
1026,11
1027,11
1028,11
1029,10
1030,10
1031,10
1032,11
1033,11
1034,10
1035,13
1036,10
1037,8
1038,8
1039,10
1040,8
1041,7
1042,10
1043,9
1044,8
1045,7
1046,5
1047,5
1048,4
1049,5
1050,5
1051,3
1052,3
1053,3
1054,4
1055,4
1056,5
1057,4
1058,5
1059,5
1060,4
1061,5
1062,2
1063,3
1064,6
1065,5
1066,6
1067,3
1068,4
1069,6
1070,6
1071,6
1072,5
1073,6
1074,7
1075,4
1076,0
1077,6
1078,6
1079,6
